Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
NVMFS5C442N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C442N-D.PDF;NVMFS5C442NAFT1G;0.69;Power MOSFET 40V, 140A, 2.3 mOhm, Single N-Channel, .SO8-FL;N-Channel;Single;40;2.3;140;32;20;Silicon;SO-8FL / DFN-5;2100;4;83;;;;1100;40;4.7;40;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFS080N10G;https://www.onsemi.com/download/data-sheet/pdf/NTTFS080N10G-D.PDF;NTTFS080N10GTAG;0.24;MOSFET Power, Single N-Channel, μ8FL, 100V, 82mΩ, 15A;N-Channel;Single;100;82;15;7.4;20;Silicon;WDFN-8 / u8FL;547;4;41;;;;50;6.3;;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C442N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C442N-D.PDF;NVMFS5C442NWFAFT1G;0.75;Power MOSFET 40V, 140A, 2.3 mOhm, Single N-Channel, .SO8-FL WF;N-Channel;Single;40;2.3;140;32;20;Silicon;DFNW5 5x6;2100;4;83;;;;1100;40;4.7;40;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFS020N06C;https://www.onsemi.com/download/data-sheet/pdf/NTTFS020N06C-D.PDF;NTTFS020N06CTAG;0.45;Single N−Channel Power MOSFET 60V, 27A, 20.3mΩ in u8FL;N-Channel;Single;60;20.3;27;5.8;20;Silicon;WDFN-8 / u8FL;355;4;2.5;;;;260;4.9;0.53;12;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS6H824N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H824N-D.PDF;NVMFS6H824NT1G;0.64;Power MOSFET 80V, 107A, 4.5 mΩ, Single N-Channel;N-Channel;Single;80;4.5;107;38;20;Silicon;SO-8FL / DFN-5;2470;4;115;;;;342;11;;67;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS6H824N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS6H824N-D.PDF;NVMFS6H824NWFT1G;0.64;Power MOSFET 80V, 107A, 4.5 mΩ, Single N-Channel;N-Channel;Single;80;4.5;107;38;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);2470;4;115;;;;342;11;;67;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS020N06C;https://www.onsemi.com/download/data-sheet/pdf/NTMFS020N06C-D.PDF;NTMFS020N06CT1G;0.51;Power MOSFET Power, N-Channel, SINGLE SO8FL, 60 V, 19.6 mΩ, 28 A;N-Channel;Single;60;19.6;28;5.8;20;Silicon;SO-8FL / DFN-5;355;4;3.4;;;;260;4.9;0.53;12;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFD5C462N;https://www.onsemi.com/download/data-sheet/pdf/NVMFD5C462N-D.PDF;NVMFD5C462NWFT1G;1.17;Power MOSFET 40 V, 70 A, 5.4 mΩ, Dual N-Channel, Logic Level;N-Channel;Dual;40;5.4;70;16;20;Silicon;SO-8FL Dual / DFN-8;1020;3.5;50;;;;550;21;;12;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS008N12MC;https://www.onsemi.com/download/data-sheet/pdf/NTMFS008N12MC-D.PDF;NTMFS008N12MCT1G;0.90;Single N-Channel Power MOSFET 120V, 79A, 8mΩ;N-Channel;Single;120;8;79;33;20;Silicon;SO-8FL / DFN-5;2705;4;2.7;;;;1150;4.9;6;165;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFD5C446N;https://www.onsemi.com/download/data-sheet/pdf/NVMFD5C446N-D.PDF;NVMFD5C446NWFT1G;1.57;Dual N-Channel Power MOSFET 40V, 127A,  2.9mΩ;N-Channel;Dual;40;2.9;127;38;20;Silicon;SO-8FL Dual / DFN-8;2450;3.5;89;;;;1200;44;7;35;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDPF2D3N10C;https://www.onsemi.com/download/data-sheet/pdf/FDP2D3N10C-D.PDF;FDPF2D3N10C;3.29;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET, 100V, 222A, 2.3mΩ;N-Channel;Single;100;2.3;222;108;4;Silicon;TO-220-3 FullPak;7980;4;45;;;;4490;40;22;191;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVTR4502P;https://www.onsemi.com/download/data-sheet/pdf/NTR4502P-D.PDF;NVTR4502PT1G;0.20;Single P-Channel Power MOSFET -30V, -1.95A, 200mΩ, Automotive Version of the NTR4502P.;P-Channel;Single;-30;155;1.95;6;20;Silicon;SOT-23-3;200;-3;0.4;;240;;80;50;1.7;;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS4C01N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS4C01N-D.PDF;NVMFS4C01NWFT1G;1.87;Single N-Channel Logic Level Power MOSFET 30V, 319A, 0.9mΩ;N-Channel;Single;30;0.67;299;139;20;Silicon;DFNW5 5x6;10144;2.2;161;;0.96;14;5073;148;13;147;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H880NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H880NL-D.PDF;NVTFS6H880NLTAG;'-;MOSFET - Power, Single N-Channel, 80 V, 29 mΩ, 22 A, WDFN8 (Pb−Free);N-Channel;Single;80;29;22;9;20;Silicon;WDFN-8 / u8FL;431;2;33;;38;1;56;4;1.5;17;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFS5C478NL;https://www.onsemi.com/download/data-sheet/pdf/NTTFS5C478NL-D.PDF;NTTFS5C478NLTAG;0.58;;N-Channel;Single;40;14;26;8;20;Silicon;WDFN-8 / u8FL;400;2.2;3;;25;3.8;170;8;1.2;5;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFSC012N15MC;https://www.onsemi.com/download/data-sheet/pdf/NTMFSC012N15MC-D.PDF;NTMFSC012N15MC;1.47;MOSFET - Power, Dualcool N-Channel, PQFN8, 150V, 11.4mΩ, 80A;N-Channel;Single;150;11.4;80;20.4;20;Silicon;DFN-8;2490;4.5;147;;;;676;9;;559;Standard;;FALSE;FALSE;TRUE;TRUE;Active
MVGSF1N03L;https://www.onsemi.com/download/data-sheet/pdf/MGSF1N03LT1-D.PDF;MVGSF1N03LT1G;0.32;Single N-Channel Power MOSFET 30V, 2.1A, 100mΩ, Automotive version of the MGSF1N03L;N-Channel;Single;30;100;1.6;6;20;Silicon;SOT-23-3;140;2.4;0.42;;145;3.5;100;40;;;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS5C628NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C628NL-D.PDF;NVMFS5C628NLWFAFT1G;1.09;Single N-Channel Power MOSFET 60V, 150A, 2.4mΩ;N-Channel;Single;60;2.4;235;52;20;Silicon;DFNW5 5x6;3600;2;110;;3.3;;1700;28;4.5;60;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDD86569_F085;https://www.onsemi.com/download/data-sheet/pdf/FDD86569_F085-D.PDF;FDD86569-F085;0.46;N-Channel PowerTrench® MOSFET 60 V, 90 A, 5.7 mΩ;N-Channel;Single;60;5.7;90;35;20;Silicon;DPAK-3 / TO-252-3;2520;4;150;;;;690;47;7.4;43;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS006N08MC;https://www.onsemi.com/download/data-sheet/pdf/NTMFS006N08MC-D.PDF;NTMFS006N08MC;0.82;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 80V, 32A, 6.0mΩ;N-Channel;Single;80;6;32;30;20;Silicon;PQFN-8;2300;4;2.5;;;;710;31;6;51.4;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDBL9401-F085T6;https://www.onsemi.com/download/data-sheet/pdf/FDBL9401-F085T6-D.PDF;FDBL9401-F085T6;3.99;Power MOSFET, Single N-Channel, 40 V, 0.67 mΩ, 240 A;N-Channel;Single;40;0.67;240;148;20;Silicon;TO-LL 8L;10000;4;180.7;;;;5100;177;;218;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFSC0D9N04CL;https://www.onsemi.com/download/data-sheet/pdf/NVMFSC0D9N04CL-D.PDF;NVMFSC0D9N04CL;2.26;Power MOSFET -  DUAL COOL<sup>®</sup> N-Channel,DFN8 5x6, PQFN8 5x6 (Pb−Free/Halogen Free);N-Channel;Dual;40;0.85;316;86;20;Silicon;DFN-8;6100;2;166;;1.3;;3400;70;14;159;Automotive;;TRUE;TRUE;FALSE;TRUE;Active
NTTFS022N15MC;https://www.onsemi.com/download/data-sheet/pdf/NTTFS022N15MC-D.PDF;NTTFS022N15MC;1.06;Power MOSFET, N Channel, 150V, 37.2 A, 22mΩ;N-Channel;Single;150;22;37.2;17;20;Silicon;PQFN-8;1315;4.5;2.8;;;;380;6;2.7;155;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDP2D3N10C;https://www.onsemi.com/download/data-sheet/pdf/FDP2D3N10C-D.PDF;FDP2D3N10C;3.44;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET, 100V, 222A, 2.3mΩ;N-Channel;Single;100;2.3;222;108;4;Silicon;TO-220-3;7980;4;214;;;;4490;40;22;191;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C628NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C628NL-D.PDF;NVMFS5C628NLAFT1G;1.18;Single N-Channel Power MOSFET 60V, 150A, 2.4mΩ;N-Channel;Single;60;2.4;235;52;20;Silicon;SO-8FL / DFN-5;3600;2;110;;3.3;;1700;28;4.5;60;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFD5C446N;https://www.onsemi.com/download/data-sheet/pdf/NVMFD5C446N-D.PDF;NVMFD5C446NT1G;1.75;Dual N-Channel Power MOSFET 40V, 127A,  2.9mΩ;N-Channel;Dual;40;2.9;127;38;20;Silicon;SO-8FL Dual / DFN-8;2450;3.5;89;;;;1200;44;7;35;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFD030N06C;https://www.onsemi.com/download/data-sheet/pdf/NTMFD030N06C-D.PDF;NTMFD030N06CT1G;0.97;Power MOSFET Power, N-Channel, DUAL SO8FL, 60 V, 29.7 mΩ, 19 A;N-Channel;Dual;60;29.7;19;4.7;20;Silicon;SO-8FL Dual / DFN-8;255;4;3.2;;;;173;4.4;0.54;9.7;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFD020N06C;https://www.onsemi.com/download/data-sheet/pdf/NTMFD020N06C-D.PDF;NTMFD020N06CT1G;0.85;Power MOSFET Power, N-Channel, DUAL SO8FL, 60 V, 20.3 mΩ, 27 A;N-Channel;Dual;60;20.3;27;5.8;20;Silicon;SO-8FL Dual / DFN-8;355;4;3.1;;;;260;4.9;0.53;12;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDD86381_F085;https://www.onsemi.com/download/data-sheet/pdf/FDD86381_F085-D.PDF;FDD86381-F085;0.39;N-Channel PowerTrench<sup>®</sup> MOSFET 80 V, 25 A, 21 mΩ;N-Channel;Single;80;21;25;14;20;Silicon;DPAK-3 / TO-252-3;866;4;48.4;;;;176;7;;19;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFD021N08C;https://www.onsemi.com/download/data-sheet/pdf/NTTFD021N08C-D.PDF;NTTFD021N08C;1.33;MOSFET, Power, 80V POWERTRENCH® Power Clip Half Bridge Configuration;N-Channel;Dual;80;21;24;8.4;20;Silicon;WQFN-12;572;4;1.7;;;;227;11;1.8;82.5;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMYS9D3N06CL;https://www.onsemi.com/download/data-sheet/pdf/NTMYS9D3N06CL-D.PDF;NTMYS9D3N06CLTWG;1.76;Power MOSFET 60 V, 9.2mΩ, 50 A, Single N-Channel;N-Channel;Single;60;9.2;50;9.5;20;Silicon;LFPAK-4;880;2;46;;13;4.5;450;11;;18;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C612NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C612NL-D.PDF;NVMFS5C612NLAFT1G;1.58;Single N-Channel Power MOSFET 60V, 235A, 1.5mΩ, 1500 / Tape & Reel;N-Channel;Single;60;1.36;235;91;20;Silicon;SO-8FL / DFN-5;6660;2;167;;2.3;;2953;45;10.9;105;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDMS4D5N08LC;https://www.onsemi.com/download/data-sheet/pdf/FDMS4D5N08LC-D.PDF;FDMS4D5N08LC;1.07;Power MOSFET 80V Single N Channel, 116A, 4.2mΩ in Power 56  Package.;N-Channel;Single;80;4.2;116;51;20;Silicon;PQFN-8;3640;2.5;2.5;;6.1;24;834;39;6;38;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTTFS5C471NL;https://www.onsemi.com/download/data-sheet/pdf/NTTFS5C471NL-D.PDF;NTTFS5C471NLTAG;0.65;;N-Channel;Single;40;9;41;12;20;Silicon;WDFN-8 / u8FL;660;2.2;3;;15.5;5.5;270;12;1.8;10;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5113PL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5113PL-D.PDF;NTMFS5113PLT1G;0.85;Power MOSFET −60V, 64A, 14 mOhm, Single P-Channel, SO8-FL, Logic Level.;P-Channel;Single;-60;14;64;83;20;Silicon;SO-8FL / DFN-5;4400;2.5;3.8;;22;45;505;319;27;50;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVBLS0D5N04C;https://www.onsemi.com/download/data-sheet/pdf/NVBLS0D5N04C-D.PDF;NVBLS0D5N04CTXG;4.08;Power MOSFET, 40 V, 300 A, 0.57 mΩ, Single N-Channel;N-Channel;Single;40;0.57;300;185;20;Silicon;TO-LL 8L;12600;4;198.4;;;;6705;135;;288;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS5C612NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C612NL-D.PDF;NVMFS5C612NLWFAFT1G;1.78;Single N-Channel Power MOSFET 60V, 235A, 1.5mΩ;N-Channel;Single;60;1.36;235;91;20;Silicon;DFNW5 5x6;6660;2;167;;2.3;;2953;45;10.9;105;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFS030N10G;https://www.onsemi.com/download/data-sheet/pdf/NTTFS030N10G-D.PDF;NTTFS030N10GTAG;0.54;MOSFET Power, Single N-Channel, μ8FL, 100V, 30mΩ, 35A;N-Channel;Single;100;30;35;20.3;20;Silicon;WDFN-8;1436;4;75;;;;138;17;;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS5C682NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C682NL-D.PDF;NTMFS5C682NLT1G;1.02;Single N-Channel Power MOSFET 60V, 26A, 21mΩ;N-Channel;Single;60;21;25;2.5;20;Silicon;SO-8FL / DFN-5;410;2;28;;31.5;41;210;7;0.5;7;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFD5C650NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFD5C650NL-D.PDF;NVMFD5C650NLT1G;1.96;Dual N-Channel Power MOSFET 60V, 111A, 4.2mΩ;N-Channel;Dual;60;42;125;37;20;Silicon;SO-8FL Dual / DFN-8;2546;2.2;125;;58;4.7;1258;17;3.1;35;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS5C673NT;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5C673N-D.PDF;NTMFS5C673NT1G;0.58;Single N−Channel Power MOSFET 60V, 50A, 10.7mΩ;N-Channel;Single;60;10.7;50;9.6;20;Silicon;SO-8FL / DFN-5;680;4;3.6;;;;465;6;0.9;22;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C430N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C430N-D.PDF;NVMFS5C430NAFT1G;0.96;Power MOSFET 40V, 185A, 1.7 mOhm, Single N-Channel, SO8-FL. 1500 / Tape & Reel;N-Channel;Single;40;1.7;185;47;20;Silicon;SO-8FL / DFN-5;3300;3.5;106;;;;1600;45;7;68;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFD022N10C;https://www.onsemi.com/download/data-sheet/pdf/NTTFD022N10C-D.PDF;NTTFD022N10C;1.35;MOSFET, Power, 100V POWERTRENCH® Power Clip Half Bridge Configuration;N-Channel;Dual;100;25;24;9;20;Silicon;WQFN-12;585;4;1.7;;;;354;8;2;35;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDD86369_F085;https://www.onsemi.com/download/data-sheet/pdf/FDD86369_F085-D.PDF;FDD86369-F085;0.45;N-Channel PowerTrench<sup>®</sup> MOSFET 80 V, 90 A, 7.9 mΩ;N-Channel;Single;80;7.9;90;36;20;Silicon;DPAK-3 / TO-252-3;2530;4;150;;;;430;16;8.5;40;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDD86567_F085;https://www.onsemi.com/download/data-sheet/pdf/FDD86567_F085-D.PDF;FDD86567-F085;0.90;N-Channel PowerTrench<sup>®</sup> MOSFET 60 V, 100 A, 3.2 mΩ;N-Channel;Single;60;3.2;100;63;20;Silicon;DPAK-3 / TO-252-3;4950;4;227;;;;1300;45;10;76;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDWS86068-F085;https://www.onsemi.com/download/data-sheet/pdf/FDWS86068-F085-D.PDF;FDWS86068-F085;1.46;N-Channel PowerTrench<sup>®</sup> MOSFET 100V, 80A, 4.5mΩ;N-Channel;Single;100;6.4;80;31;20;Silicon;DFNW-8;2220;4;214;;;;1350;19;;56;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFD5C470NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFD5C470NL-D.PDF;NTMFD5C470NLT1G;1.11;Dual N-Channel Power MOSFET 40V, 36A, 11.5mΩ;N-Channel;Dual;40;11.5;36;9;20;Silicon;SO-8FL Dual / DFN-8;590;2.2;24;;17.8;4;200;8;1.6;9;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTTFS015P03P8Z;https://www.onsemi.com/download/data-sheet/pdf/NTTFS015P03P8Z-D.PDF;NTTFS015P03P8ZTAG;0.25;MOSFET, Single -30V P-Channel;P-Channel;Single;-30;9.3;47.6;62.3;25;Silicon;WDFN-8 / u8FL;2706;-3;33.8;;15;37;907;875;21.7;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFD5C650NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFD5C650NL-D.PDF;NVMFD5C650NLWFT1G;2.06;Dual N-Channel Power MOSFET 60V, 111A, 4.2mΩ;N-Channel;Dual;60;42;125;37;20;Silicon;SO-8FL Dual / DFN-8;2546;2.2;125;;58;4.7;1258;17;3.1;35;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS5C430N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C430N-D.PDF;NVMFS5C430NWFAFT1G;1.04;Single N-Channel Power MOSFET 40V, 185A, 1.7mΩ, Power MOSFET 40V, 185A, 1.7 mOhm, Single N-Channel, SO8-FL. 1500 / Tape & Reel. Pb-Free, Wettable Flanks;N-Channel;Single;40;1.7;185;47;20;Silicon;DFNW5 5x6;3300;3.5;106;;;;1600;45;7;68;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTTFS015P03P8Z;https://www.onsemi.com/download/data-sheet/pdf/NTTFS015P03P8Z-D.PDF;NTTFS015P03P8ZTWG;0.27;MOSFET, Single -30V P-Channel;P-Channel;Single;-30;9.3;47.6;62.3;25;Silicon;WDFN-8 / u8FL;2706;-3;33.8;;15;37;907;875;21.7;;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS010N10G;https://www.onsemi.com/download/data-sheet/pdf/NTMFS010N10G-D.PDF;NTMFS010N10GTWG;1.13;MOSFET - Power, Single, N-Channel, PQFN8, 100V, 10.8mΩ, 83A;N-Channel;Single;100;10.8;83;58.5;20;Silicon;PQFN-8;3950;4;150;;;;430;60;;147;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS3D2N10MD;https://www.onsemi.com/download/data-sheet/pdf/NTMFS3D2N10MD-D.PDF;NTMFS3D2N10MDT1G;1.34;N-Channel Shielded Gate PowerTrench® MOSFET 100V, 142A, 3.5mΩ;N-Channel;Single;100;3.5;142;48;20;Silicon;DFN5 5x6, 1.27P (SO−8FL);3900;4;155;;;;1100;24;;74;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFD5C680NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFD5C680NL-D.PDF;NTMFD5C680NLT1G;1.08;Dual N-Channel Power MOSFET 60V, 26A, 28mΩ;N-Channel;Dual;60;28;26;5;20;Silicon;SO-8FL Dual / DFN-8;350;2.2;19;;41;2;150;6;0.8;7;Standard;;FALSE;FALSE;TRUE;TRUE;Active
FDS4141;https://www.onsemi.com/download/data-sheet/pdf/FDS4141-D.pdf;FDS4141;0.42;P-Channel PowerTrench<sup>®</sup> MOSFET -40V, -10.8A, 13.0mΩ;P-Channel;Single;-40;13;-10.8;19;20;Silicon;SOIC-8;2005;-3;5;;19;16;355;190;7;14;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C410NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C410NL-D.PDF;NVMFS5C410NLAFT1G;1.68;Single N-Channel Power MOSFET 40V, 330A, 0.82mΩ, 1500 / Tape & Reel;N-Channel;Single;40;0.82;330;143;20;Silicon;SO-8FL / DFN-5;8862;2;167;;1.2;;4156;116;22;126;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
FDPF041N06BL1-F154;https://www.onsemi.com/download/data-sheet/pdf/FDPF041N06BL1-F154-D.PDF;FDPF041N06BL1-F154;0.84;N-Channel PowerTrench<sup>®</sup> MOSFET 60 V, 77 A, 4.1 mΩ;N-Channel;Single;60;4.1;77;53;20;Silicon;TO-220 FULLPACK, 3-LEAD (ULTRA NARROW LEAD);4280;4;44.1;;;;1050;23;;63;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C404NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C404NL-D.PDF;NVMFS5C404NLWFAFT1G;3.77;Single N-Channel Power MOSFET 40V, 370A, 0.67mΩ, TrenchFet 40V N-ch Trench 6 HEFET WF;N-Channel;Single;40;0.67;352;181;20;Silicon;DFNW5 5x6;12168;2;200;;1;81;4538;79.8;23.8;190;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS5H630NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5H630NL-D.PDF;NTMFS5H630NLT1G;0.63;Single N Channel Power MOSFET 60V, 120A, 3.1mΩ;N-Channel;Single;60;3.1;120;35;20;Silicon;SO-8FL / DFN-5;2540;2;89;;4.4;16;470;12;2.7;44.8;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFD016N06C;https://www.onsemi.com/download/data-sheet/pdf/NTMFD016N06C-D.PDF;NTMFD016N06CT1G;1.11;Power MOSFET Power, N-Channel, DUAL SO8FL, 60 V, 16.3 mΩ, 32 A;N-Channel;Dual;60;16.3;32;6.9;20;Silicon;SO-8FL Dual / DFN-8;489;4;3.1;;;;319;5.7;0.62;15;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMYS7D3N04CL;https://www.onsemi.com/download/data-sheet/pdf/NTMYS7D3N04CL-D.PDF;NTMYS7D3N04CLTWG;1.19;Power MOSFET, Single N-Channel, 40 V, 7.3 mOhm, 52 A;N-Channel;Single;40;7.3;52;16;20;Silicon;LFPAK-4;860;2;3.8;;12;7;360;15;;11;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMYS6D2N06CL;https://www.onsemi.com/download/data-sheet/pdf/NTMYS6D2N06CL-D.PDF;NTMYS6D2N06CLTWG;1.86;Power MOSFET, 60 V, 6.1 mOhms, 71 A, Single N-Channel;N-Channel;Single;60;6.1;71;20;20;Silicon;LFPAK-4;1400;2;61;;8.8;9;690;15;;19;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NTMFS4D2N10MD;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4D2N10MD-D.PDF;NTMFS4D2N10MDT1G;1.14;N-Channel Shielded Gate PowerTrench<sup>®</sup> MOSFET 100V, 113A, 4.2mΩ;N-Channel;Single;100;4.44;113;41;20;Silicon;SO-8FL / DFN-5;3100;4;2.8;;;;800;23;6.1;66.1;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVD3055-150;https://www.onsemi.com/download/data-sheet/pdf/NTD3055-150-D.PDF;NVD3055-150T4G-VF01;0.36;Power MOSFET 60V, 9A, 150 mOhm, Single N-Channel, DPAK.;N-Channel;Single;60;150;9;7.1;20;Silicon;DPAK-3;200;4;28.8;;;;70;26;;36;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVD5C434N;https://www.onsemi.com/download/data-sheet/pdf/NVD5C434N-D.PDF;NVD5C434NT4G;1.46;Single N-Channel Power MOSFET, 40V, 163A, 2.2mΩ, DPAK 2500 tape and reel ;N-Channel;Single;40;2.1;163;80.6;20;Silicon;DPAK-3;5400;4;117;;;;3000;71;15.4;120;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS4C029N;https://www.onsemi.com/download/data-sheet/pdf/NTMFS4C029N-D.PDF;NTMFS4C029NT1G;0.19;Single N−Channel Power MOSFET 30 V, 46 A, 5.88mΩ;N-Channel;Single;30;5.88;46;18.9;20;Silicon;SO-8FL / DFN-5;987;2.2;0.69;;9;15;574;162;3.7;13.7;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS5C410NL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS5C410NL-D.PDF;NVMFS5C410NLWFAFT1G;1.82;Single N-Channel Power MOSFET 40V, 330A, 0.82mΩ, 1500 / Tape & Reel. Pb-Free, Wettable Flanks;N-Channel;Single;40;0.82;330;143;20;Silicon;DFNW5 5x6;8862;2;167;;1.2;;4156;116;22;126;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVD3055-094;https://www.onsemi.com/download/data-sheet/pdf/NTD3055-094-D.PDF;NVD3055-094T4G-VF01;0.44;N-Channel Power MOSFET 60V, 12A, 94mΩ;N-Channel;Single;60;94;12;10.9;20;Silicon;DPAK-3;323;4;48;;;;107;34;;47;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJS1D0N04C;https://www.onsemi.com/download/data-sheet/pdf/NVMJS1D0N04C-D.PDF;NVMJS1D0N04CTWG;1.04;Power MOSFET 40 V, 0.92Ω, 300 A, Single N-Channel;N-Channel;Single;40;0.92;300;86;20;Silicon;LFPAK-8;6100;3.5;166;;;;3400;70;;159;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMYS025N06CL;https://www.onsemi.com/download/data-sheet/pdf/NTMYS025N06CL-D.PDF;NTMYS025N06CLTWG;1.59;Power MOSFET, Single N-Channel, 60 V, 27.5 mOhm, 21 A;N-Channel;Single;60;27.5;21;5.8;20;Silicon;LFPAK-4;330;2;24;;43;2.7;172;5;;7.5;Standard;;FALSE;FALSE;TRUE;TRUE;Active
