Product (WPN);Datasheet;OPN;Price;Description;Channel Polarity;Configuration;V(BR)DSS Min (V);RDS(on) @ VGS = 10 V (mΩ)†;ID Max (A);Qg @ VGS = 10 V (nC)†;VGS Max (V);Technology;Package Type;Ciss Typ (pF);VGS(th) Max (V);PD Max (W);RDS(on) Max @ VGS = 2.5 V  (mΩ);RDS(on) Max @ VGS = 4.5 V  (mΩ);Qg Typ @ VGS = 4.5 V (nC);Coss Typ (pF);Crss Typ (pF);Qgd Typ @ VGS = 4.5 V (nC);Qrr Typ (nC);Qualification;Tj Max (°C);AEC Qualified;PPAP Capable;Halide Free;Lead Free;Status
NVTYS010N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVTYS010N06CL-D.PDF;NVTYS010N06CLTWG;0.39;MOSFET – Power, Single, N-Channel, 60 V, 9.8 mΩ, 51 A;N-Channel;Single;60;9.8;51;13;20;Silicon;LFPAK8 3.3x3.3, 0.65P;910;2;47;;15;6;500;9;;12;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFWS0D9N04XM;https://www.onsemi.com/download/data-sheet/pdf/NVMFWS0D9N04XM-D.PDF;NVMFWS0D9N04XMT1G;1.45;Single N-Channel Power MOSFET 40 V, 273 A, 0.90 mΩ;N-Channel;Single;40;0.9;273;61.3;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);3896;3.5;121;;;;2500;35;;231;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFS4C306N;https://www.onsemi.com/download/data-sheet/pdf/NVMFS4C306N-D.PDF;NVMFS4C306NT1G;0.95;Power MOSFET 30V, 116A, 3.4 mΩ, Single N-Channel, SO8-FL, Logic Level., SO-8FL (Pb-free);N-Channel;Single;30;3.4;71;26;20;Silicon;SO-8FL / DFN-5;1683;2.1;3;;4.8;11.6;841;40;4;22;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NTMFS5H615NL;https://www.onsemi.com/download/data-sheet/pdf/NTMFS5H615NL-D.PDF;NTMFS5H615NLT1G;1.03;Single N Channel Power MOSFET 60V, 200A, 1.8mΩ, Power MOSFET 60V 200A 1.8 mOhm Single N Channel SO-8FL Logic Level;N-Channel;Single;60;1.8;200;62;2;Silicon;SO-8FL / DFN-5;4860;2;3.2;;2.5;28;900;18;4.5;80;Standard;;FALSE;FALSE;TRUE;TRUE;Active
NVMFS016N10MCL;https://www.onsemi.com/download/data-sheet/pdf/NVMFS016N10MCL-D.PDF;NVMFS016N10MCLT1G;0.42;MOSFET - Power, Single, N-Channel 100 V, 14 mΩ, 46A;N-Channel;Single;100;14;46;19;20;Silicon;SO-8FL / DFN-5;1250;3;64;;20;9;460;8;;24;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTYS008N06CL;https://www.onsemi.com/download/data-sheet/pdf/NVTYS008N06CL-D.PDF;NVTYS008N06CLTWG;0.43;MOSFET – Power, Single, N-Channel;N-Channel;Single;60;8;63;17;20;Silicon;LFPAK8 3.3x3.3, 0.65P;1230;2.2;56;;11;8;660;11;;14.5;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMYS006N08LH;https://www.onsemi.com/download/data-sheet/pdf/NVMYS006N08LH-D.PDF;NVMYS006N08LHTWG;0.64;MOSFET - Power, Single N-Channel, 80 V, 6.2 mΩ, 77 A;N-Channel;Single;80;6.2;77;34;20;Silicon;LFPAK-4;1950;2;89;;7.8;16;250;11;5.5;45;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVBLS0D8N08X;https://www.onsemi.com/download/data-sheet/pdf/NVBLS0D8N08X-D.PDF;NVBLS0D8N08XTXG;2.69;Single N-Channel Power MOSFET 80V, 213 A, 0.8 mΩ;N-Channel;Single;80;0.8;213;197;20;Silicon;TO-LL 8L;13350;2.63;218;;;;4690;126;;194;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMJST3D3N04C;https://www.onsemi.com/download/data-sheet/pdf/NVMJST3D3N04C-D.PDF;NVMJST3D3N04CTXG;0.91;Single N-Channel Power MOSFET 40V, 102A, 3.3 mΩ on Top Cool Package;N-Channel;Single;40;3.3;102;23;20;Silicon;TCPAK10 5.1x7.5, 1.0P;1600;3.5;68;;;;830;28;;23;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVMFWS0D63N04XM;https://www.onsemi.com/download/data-sheet/pdf/NVMFWS0D63N04XM-D.PDF;NVMFWS0D63N04XMT1G;1.66;Single N-Channel Power MOSFET 40 V, 384 A, 0.6 mΩ;N-Channel;Single;40;0.6;344;92.2;20;Silicon;DFNW5 5x6 (FULL-CUT SO8FL WF);5862;3.5;157;;;;3760;50;;246;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
NVTFS6H880NL;https://www.onsemi.com/download/data-sheet/pdf/NVTFS6H880NL-D.PDF;NVTFS6H880NLWFTAG;0.25;MOSFET - Power, Single N-Channel, 80 V, 29 mΩ, 22 A, WDFN8 (Pb−Free, Wettable Flanks);N-Channel;Single;80;29;22;9;20;Silicon;WDFNW8 3.3x3.3, 0.65P (Full−Cut 8FL WF);431;2;33;;38;1;56;4;1.5;17;Automotive;;TRUE;TRUE;TRUE;TRUE;Active
